tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
789,2020-01-01 00:00:55.3900,2020-01-01 00:14:05.1470,504,1 Ave & E 16 St,40.73221853,-73.98165557,307,Canal St & Rutgers St,40.71427487,-73.98990025,30326,Subscriber,1992,1
1541,2020-01-01 00:01:08.1020,2020-01-01 00:26:49.1780,3423,West Drive & Prospect Park West,40.6610633719006,-73.9794525504112,3300,Prospect Park West & 8 St,40.6651468153379,-73.9763760566711,17105,Customer,1969,1
1464,2020-01-01 00:01:42.1400,2020-01-01 00:26:07.0110,3687,E 33 St & 1 Ave,40.7432268143217,-73.9744978398085,259,South St & Whitehall St,40.70122128,-74.01234218,40177,Subscriber,1963,1
592,2020-01-01 00:01:45.5610,2020-01-01 00:11:38.1550,346,Bank St & Hudson St,40.73652889,-74.00618026,490,8 Ave & W 33 St,40.751551,-73.993934,27690,Subscriber,1980,1
702,2020-01-01 00:01:45.7880,2020-01-01 00:13:28.2400,372,Franklin Ave & Myrtle Ave,40.694546087246,-73.9580136537552,3637,Fulton St & Waverly Ave,40.6832386546034,-73.9659959077835,32583,Subscriber,1982,1
1740,2020-01-01 00:02:04.6780,2020-01-01 00:31:04.7070,394,E 9 St & Avenue C,40.72521311,-73.97768752,478,11 Ave & W 41 St,40.76030096,-73.99884222,41475,Subscriber,1980,1
203,2020-01-01 00:02:06.0380,2020-01-01 00:05:29.2050,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3668,Leonard St & Nassau Ave,40.7239567849954,-73.9498436450958,30072,Subscriber,1985,1
1758,2020-01-01 00:02:19.6320,2020-01-01 00:31:37.9640,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,30055,Subscriber,1969,0
114,2020-01-01 00:03:49.8380,2020-01-01 00:05:44.1390,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,14936,Subscriber,1991,1
417,2020-01-01 00:03:53.2700,2020-01-01 00:10:50.2850,467,Dean St & 4 Ave,40.68312489,-73.97895137,3368,5 Ave & 3 St,40.6728155,-73.98352355,40210,Subscriber,1971,1
422,2020-01-01 00:03:55.9890,2020-01-01 00:10:58.4490,504,1 Ave & E 16 St,40.73221853,-73.98165557,393,E 5 St & Avenue C,40.72299208,-73.97995466,35019,Subscriber,1975,1
475,2020-01-01 00:04:13.8840,2020-01-01 00:12:08.9370,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,3379,E 103 St & Lexington Ave,40.7903051,-73.94755757,28224,Subscriber,1997,1
1120,2020-01-01 00:04:16.7700,2020-01-01 00:22:57.4690,514,12 Ave & W 40 St,40.76087502,-74.00277668,405,Washington St & Gansevoort St,40.739323,-74.008119,26343,Subscriber,2001,1
152,2020-01-01 00:04:30.9650,2020-01-01 00:07:02.9900,536,1 Ave & E 30 St,40.74144387,-73.97536082,174,E 25 St & 1 Ave,40.7381765,-73.97738662,18808,Subscriber,1978,1
459,2020-01-01 00:04:33.8260,2020-01-01 00:12:13.5130,502,Henry St & Grand St,40.714211,-73.981095,296,Division St & Bowery (old),40.71413089,-73.9970468,40558,Subscriber,1978,1
604,2020-01-01 00:04:56.9320,2020-01-01 00:15:01.7520,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,3068,Humboldt St & Varet St,40.7031724,-73.940636,41337,Customer,1994,1
1095,2020-01-01 00:05:36.6700,2020-01-01 00:23:52.0200,514,12 Ave & W 40 St,40.76087502,-74.00277668,405,Washington St & Gansevoort St,40.739323,-74.008119,30266,Customer,2001,2
