vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,End_Lon,End_Lat,Fare_Amt,Tip_Amt,Total_Amt
CMT,2009-01-03 12:15:43,2009-01-03 12:22:20,1,0.8,-73.974309,40.762474,-73.977782,40.755135,5.3,0.0,5.3
DDS,2009-01-03 12:54:02,2009-01-03 13:00:17,3,0.6,-73.991157,40.72349,-73.998879,40.721373,4.9,0.0,4.9
CMT,2009-01-03 12:57:28,2009-01-03 13:12:54,1,2.7,-73.98907599999998,40.730751,-73.978767,40.76207,10.9,0.0,10.9
CMT,2009-01-03 13:23:08,2009-01-03 13:25:57,1,0.6,-73.95588999999998,40.768042,-73.950514,40.77554,4.1,0.0,4.1
CMT,2009-01-03 13:52:54,2009-01-03 14:08:08,2,3.3,-73.95556399999998,40.779682,-73.990936,40.751487,11.7,0.0,11.7
DDS,2009-01-03 14:38:17,2009-01-03 14:57:46,1,11.2,-73.87276099999998,40.773519,-73.979265,40.734826,26.1,0.0,26.1
CMT,2009-01-03 15:00:23,2009-01-03 15:10:33,2,0.7,-73.958931,40.753357,-73.958931,40.753357,6.5,0.0,6.5
CMT,2009-01-03 15:01:30,2009-01-03 15:20:41,1,3.4,-73.991894,40.756389,-73.951049,40.771988,12.9,0.0,12.9
CMT,2009-01-03 15:24:21,2009-01-03 15:33:52,1,2.6,-73.96165999999998,40.800766,-73.96530699999998,40.771888,8.5,0.0,8.5
CMT,2009-01-03 15:17:11,2009-01-03 15:36:47,1,3.4,-74.00574899999998,40.736476,-73.980692,40.777697,12.9,3.0,15.9
VTS,2009-01-03 15:43:00,2009-01-03 15:57:00,5,10.35,-74.002587,40.739748,-73.869983,40.770225,23.7,4.74,28.44
CMT,2009-01-03 16:08:10,2009-01-03 16:18:24,1,2.2,-74.00134799999998,40.756659,-73.979408,40.74136,8.099999999999998,0.0,8.099999999999998
CMT,2009-01-03 16:24:35,2009-01-03 16:42:16,3,3.9,-73.96183399999998,40.762026,-74.00102699999998,40.747069,13.7,0.0,13.7
CMT,2009-01-03 16:27:10,2009-01-03 17:04:38,2,17.9,-73.984087,40.756809,-73.77650199999998,40.645573,45.0,0.0,45.0
CMT,2009-01-03 16:56:43,2009-01-03 17:07:52,1,5.7,-74.006741,40.705744,-73.968546,40.754061,14.5,0.0,14.5
CMT,2009-01-03 17:08:30,2009-01-03 17:16:31,1,1.0,-73.999303,40.754142,-73.98484999999998,40.753539,6.1,2.0,8.099999999999998
CMT,2009-01-03 17:05:38,2009-01-03 17:21:38,1,4.5,-73.990612,40.734878,-73.94083899999998,40.718453,13.3,0.0,13.3
CMT,2009-01-03 17:23:18,2009-01-03 17:27:03,2,0.6,-73.95981999999998,40.779339,-73.95799499999998,40.774494,4.1,0.0,4.1
DDS,2009-01-03 17:25:57,2009-01-03 17:33:42,2,0.9,-73.977867,40.761375,-73.990778,40.760532,5.3,0.0,5.3
CMT,2009-01-03 16:48:23,2009-01-03 17:35:50,1,19.2,-74.00664899999998,40.716653,-73.785956,40.638868,45.0,0.0,45.0
CMT,2009-01-03 17:34:41,2009-01-03 17:37:01,1,0.4,-73.975807,40.786282,-73.971047,40.783059,3.7,1.0,4.7
CMT,2009-01-03 17:23:31,2009-01-03 17:48:03,2,7.8,-73.94924399999998,40.745019,-73.94924,40.74502,21.7,0.0,21.7
CMT,2009-01-03 17:44:05,2009-01-03 18:03:37,1,3.2,-73.962422,40.76722,-73.979605,40.733055,12.5,0.0,12.5
DDS,2009-01-03 22:25:14,2009-01-03 22:31:08,1,1.0,-74.009989,40.719346,-74.00155599999998,40.730629,5.3,0.0,5.8
DDS,2009-01-04 00:14:47,2009-01-04 00:35:55,4,14.2,-73.137393,41.366138,-73.786771,40.758361,31.7,0.0,32.2
CMT,2009-01-04 01:04:38,2009-01-04 01:09:19,2,1.2,-73.976983,40.747167,-73.964459,40.758917,5.8,1.0,6.8
VTS,2009-01-04 02:52:00,2009-01-04 03:02:00,1,2.63,-73.991957,40.721567,-73.993803,40.695922,8.9,0.0,9.4
VTS,2009-01-04 03:31:00,2009-01-04 03:38:00,3,4.55,-73.982102,40.73629,-73.95585,40.76803,12.1,2.0,14.6
VTS,2009-01-04 04:31:00,2009-01-04 04:36:00,1,1.72,-73.992635,40.748362,-73.995585,40.728307,6.1,0.0,6.6
VTS,2009-01-04 06:44:00,2009-01-04 06:51:00,5,4.37,-73.992452,40.715253,-73.954347,40.77007,11.3,3.0,14.3
