vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,End_Lon,End_Lat,Payment_Type,Fare_Amt,Tip_Amt,Tolls_Amt,Total_Amt
DDS,2009-01-04 11:01:53,2009-01-04 11:08:08,1,1.0,-73.98371899999998,40.74932,-74.001722,40.756424,CREDIT,5.3,1.55,0.0,6.85
DDS,2009-01-04 13:00:22,2009-01-04 13:07:35,2,1.2,-73.950957,40.770792,-73.966757,40.76394,CASH,5.7,0.0,0.0,5.7
DDS,2009-01-04 14:14:27,2009-01-04 14:23:13,3,1.5,-74.00338,40.72383,-73.992649,40.743293,CASH,6.5,0.0,0.0,6.5
DDS,2009-01-04 20:36:38,2009-01-04 20:50:27,1,3.2,-73.98881199999998,40.748118,-73.95225999999998,40.772837,CREDIT,10.1,2.0,0.0,12.6
DDS,2009-01-04 22:00:34,2009-01-04 22:09:33,1,2.1,-73.97530899999998,40.756137,-73.997482,40.736782,CREDIT,7.7,1.3,0.0,9.5
CMT,2009-01-05 00:57:35,2009-01-05 01:03:06,1,1.2,-73.96245999999998,40.799799,-73.970996,40.790957,Cash,5.8,0.0,0.0,5.8
CMT,2009-01-05 05:29:14,2009-01-05 05:45:09,1,7.8,-73.99506499999998,40.688807,-73.974406,40.759921,Cash,20.2,0.0,0.0,20.2
CMT,2009-01-05 06:21:43,2009-01-05 06:28:41,1,2.3,-74.0061,40.748432,-73.978437,40.762481,Cash,7.7,0.0,0.0,7.7
DDS,2009-01-05 07:24:04,2009-01-05 07:30:36,1,1.7,-73.98097099999998,40.774308,-73.97850699999998,40.754307,CASH,6.1,0.0,0.0,6.1
CMT,2009-01-05 07:49:57,2009-01-05 07:54:11,1,1.0,-73.98245699999998,40.731475,-73.973011,40.743387,Credit,4.5,1.0,0.0,5.5
CMT,2009-01-05 08:15:38,2009-01-05 08:16:44,1,0.3,-73.986824,40.750893,-73.98411799999998,40.751437,Cash,2.9,0.0,0.0,2.9
CMT,2009-01-05 08:31:55,2009-01-05 08:37:50,1,0.9,-73.97793699999998,40.745919,-73.983609,40.755051,Credit,5.3,0.79,0.0,6.09
CMT,2009-01-05 09:26:49,2009-01-05 09:33:52,1,0.9,-73.98602599999998,40.762574,-73.97313,40.76343,Cash,5.7,0.0,0.0,5.7
CMT,2009-01-05 09:43:32,2009-01-05 10:02:28,1,3.0,-73.99128399999998,40.761803,-73.987076,40.729314,Cash,11.7,0.0,0.0,11.7
DDS,2009-01-05 10:09:22,2009-01-05 10:17:43,1,1.5,-73.995492,40.725104,-73.977773,40.737983,CASH,6.9,0.0,0.0,6.9
CMT,2009-01-05 10:23:13,2009-01-05 10:33:56,1,1.3,-73.990089,40.759027,-73.983974,40.746938,Cash,7.3,0.0,0.0,7.3
CMT,2009-01-05 11:01:05,2009-01-05 11:11:19,1,1.6,-73.945893,40.773608,-73.965765,40.764683,Cash,7.3,0.0,0.0,7.3
CMT,2009-01-05 11:29:40,2009-01-05 11:37:04,1,1.3,-73.952267,40.766205,-73.96959099999998,40.762841,Cash,6.5,0.0,0.0,6.5
CMT,2009-01-05 12:15:06,2009-01-05 12:27:58,1,1.7,-74.001678,40.7473,-73.97895699999998,40.750394,Cash,8.5,0.0,0.0,8.5
DDS,2009-01-05 12:40:56,2009-01-05 13:06:08,3,4.0,-73.981065,40.774147,-74.00004,40.722593,CASH,14.9,0.0,0.0,14.9
CMT,2009-01-05 13:07:15,2009-01-05 13:16:27,1,1.1,-73.977278,40.7585,-73.967039,40.769653,Cash,6.9,0.0,0.0,6.9
VTS,2009-01-05 13:14:00,2009-01-05 13:20:00,5,0.91,-73.986495,40.74284,-73.978307,40.753922,CASH,4.9,0.0,0.0,4.9
DDS,2009-01-05 14:00:11,2009-01-05 14:08:24,3,0.8,-73.97021599999998,40.760083,-73.97338999999998,40.763958,CASH,5.7,0.0,0.0,5.7
CMT,2009-01-05 14:38:59,2009-01-05 14:58:45,2,3.3,-74.01282299999998,40.707816,-73.99015199999998,40.75033,Cash,12.9,0.0,0.0,12.9
CMT,2009-01-05 16:02:52,2009-01-05 16:18:43,1,4.5,-73.99106399999998,40.727654,-73.94577099999998,40.77765,Cash,13.9,0.0,0.0,13.9
DDS,2009-01-05 16:17:35,2009-01-05 16:26:22,1,1.0,-73.977844,40.75567,-73.962659,40.755688,CREDIT,5.7,1.0,0.0,7.7
CMT,2009-01-05 16:19:53,2009-01-05 16:26:48,2,1.2,-73.97351,40.76028,-73.962933,40.775119,Cash,6.7,0.0,0.0,6.7
CMT,2009-01-05 16:29:02,2009-01-05 16:40:21,1,1.6,-73.96969,40.749244,-73.990413,40.751082,Credit,8.699999999999998,1.3,0.0,10.0
CMT,2009-01-05 17:22:16,2009-01-05 17:27:25,1,0.8,-73.984426,40.75748,-73.98251899999998,40.767165,Cash,5.9,0.0,0.0,5.9
CMT,2009-01-05 18:53:13,2009-01-05 18:57:45,1,0.7,-73.955173,40.783044,-73.95859799999998,40.774822,Cash,5.9,0.0,0.0,5.9
